,storm_speed,srh,srh_left,srh_right,bulk_shear,tornado,ef_rating,cape,cin
487,6.0,,,,16.758774617575543,0,,1100.774473150306,-130.7025878970327
488,6.0,,,,10.667708282475669,0,,1621.9046020767514,-27.200863955188133
489,13.5,0.002700000000000018,,,8.631338250816034,0,,2926.2451762884034,-112.66681975075173
490,12.6,-0.0005000000000000085,,,6.305478234451109,0,,202.16893212815538,-355.1259608522213
491,12.6,,,,12.038510323637285,0,,199.23183685468848,-116.05587700914093
492,12.8,0.004399999999999996,,,11.251462636227679,0,,1679.5392489196304,-168.59161960019853
493,13.5,,,,8.394115390839811,0,,663.417544501464,-192.6159765649426
494,14.5,,,,11.696695095424593,0,,715.0956471289218,-268.35220389839634
495,14.3,-0.009200000000000036,,,16.16863112430377,0,,786.2477703884102,-145.5082175825296
496,14.7,,,,11.49222279496534,0,,1178.7392537137766,-237.08372023750786
497,11.5,0.003300000000000024,,,7.529276193632426,0,,653.6542044073344,-143.18931578487638
498,13.0,,,,13.031871165373438,0,,268.60482865362553,-25.915195574018277
499,13.0,,,,11.822064476738431,0,,238.64856420079866,-398.5439608094179
500,12.5,-0.002199999999999992,,,8.181866332402485,0,,116.83807310020215,-197.37060862782212
501,11.5,0.0028999999999999833,,,7.654287043598325,0,,182.54852522239156,-205.34408245195152
502,12.8,,,,12.513916516074074,0,,240.99645156921378,-292.8868896417568
503,16.4,,,,6.703598564472882,0,,633.5857028675647,-161.72530198308925
504,16.6,0.03900000000000004,,,15.227914079279518,0,,0.0,0.0
505,18.9,,,,10.027350534530093,0,,0.0,0.0
506,16.4,0.01970000000000001,,,19.095373778079267,0,,123.24197401947787,-429.6218418803543
507,15.5,,,,6.644875566271002,0,,3282.315652494515,-40.363086695830134
508,13.2,,,,12.237406585748223,0,,1062.3941438234817,-107.7663864725731
509,12.3,0.002800000000000029,,,3.1352799765707458,0,,11.77385090883222,-72.52749760487004
510,13.1,,,,9.239295194695348,0,,2577.0937911771885,0.0
511,14.7,,,,10.540103931825762,0,,1337.1404163534319,-83.21089345370082
512,10.1,,,,12.065339009071304,1,0.0,2056.9958925341966,-110.50904116257645
513,10.1,,,,8.283370116553463,1,0.0,7.857793874429698,-36.38645193311348
514,8.4,,,,8.671126851264178,1,0.0,3027.7276771931574,-123.643532134841
515,15.0,-0.03200000000000004,,,18.315714625646418,1,1.0,124.23265414018206,-515.1417600761658
516,18.9,,,,16.085920399212885,1,1.0,2067.245759081366,-163.4459443507946
517,19.4,,,,19.374744486605262,1,1.0,37.719357996599335,-356.96725536788153
518,19.4,,,,12.065408755950616,1,1.0,797.408183121847,-128.31428844499194
519,20.5,-0.0002999999999999943,,,10.456098698845569,1,1.0,302.7105648624452,-208.65718211529014
520,16.6,0.004100000000000005,,,11.586542359924703,1,0.0,0.0,0.0
521,16.6,,,,12.600044056883927,1,0.0,7.6746747841607155,-228.99139930891047
522,16.6,-0.0015000000000000078,,,17.928693054974435,1,0.0,-7.938021677540224,-394.7287985759905
523,14.1,,,,10.755771941039466,0,,1263.5336723565697,-115.09006432793637
524,14.1,0.007600000000000006,,,7.8554710332321855,0,,108.86292459483225,-336.46614379917025
525,14.1,,,,11.054863183232978,0,,666.8913580550899,-198.3448915212812
526,12.6,,,,12.17002347626972,0,,447.67181369828944,-220.3717835829178
527,12.2,,,,12.32895182565323,0,,512.7892424895067,-288.8247544911571
528,9.5,-0.0004000000000000016,,,1.5635070624336693,0,,1221.9845340543072,0.0
529,10.1,,,,4.305410437781414,0,,0.0,0.0
530,10.1,,,,4.621423188322348,0,,2463.02196302322,-69.55632499580955
531,10.1,,,,2.1401489222213357,0,,1849.0373234778735,-24.924451924382236
532,9.4,0.0008999999999999891,,,6.322597735708746,0,,2309.1291311106625,-27.022654722625617
